state,abbrev,year,month,year_month,avg_temp_f,precip_in
Alabama,AL,2024,12,2024-12,48.5,5.14
Arizona,AZ,2024,12,2024-12,47.8,0.01
Arkansas,AR,2024,12,2024-12,46.3,6.69
California,CA,2024,12,2024-12,48.4,3.74
Colorado,CO,2024,12,2024-12,32.0,0.47
Connecticut,CT,2024,12,2024-12,31.6,5.18
Delaware,DE,2024,12,2024-12,38.2,3.02
Florida,FL,2024,12,2024-12,60.6,1.76
Georgia,GA,2024,12,2024-12,48.9,3.24
Idaho,ID,2024,12,2024-12,30.2,3.03
Illinois,IL,2024,12,2024-12,34.0,2.6
Indiana,IN,2024,12,2024-12,34.6,4.17
Iowa,IA,2024,12,2024-12,28.2,1.34
Kansas,KS,2024,12,2024-12,38.0,0.19
Kentucky,KY,2024,12,2024-12,40.2,5.04
Louisiana,LA,2024,12,2024-12,55.4,6.24
Maine,ME,2024,12,2024-12,23.0,4.86
Maryland,MD,2024,12,2024-12,37.5,2.75
Massachusetts,MA,2024,12,2024-12,30.7,5.04
Michigan,MI,2024,12,2024-12,27.9,2.69
Minnesota,MN,2024,12,2024-12,19.6,0.92
Mississippi,MS,2024,12,2024-12,50.4,5.42
Missouri,MO,2024,12,2024-12,37.8,2.51
Montana,MT,2024,12,2024-12,28.8,1.0
Nebraska,NE,2024,12,2024-12,33.0,0.27
Nevada,NV,2024,12,2024-12,37.6,0.82
New Hampshire,NH,2024,12,2024-12,24.8,4.37
New Jersey,NJ,2024,12,2024-12,35.0,3.69
New Mexico,NM,2024,12,2024-12,40.7,0.02
New York,NY,2024,12,2024-12,27.0,3.65
North Carolina,NC,2024,12,2024-12,43.6,3.11
North Dakota,ND,2024,12,2024-12,18.0,0.53
Ohio,OH,2024,12,2024-12,34.6,3.61
Oklahoma,OK,2024,12,2024-12,45.1,1.54
Oregon,OR,2024,12,2024-12,36.6,6.8
Pennsylvania,PA,2024,12,2024-12,31.0,3.19
Rhode Island,RI,2024,12,2024-12,33.8,6.92
South Carolina,SC,2024,12,2024-12,47.6,3.13
South Dakota,SD,2024,12,2024-12,26.3,0.45
Tennessee,TN,2024,12,2024-12,42.9,5.54
Texas,TX,2024,12,2024-12,54.2,1.67
Utah,UT,2024,12,2024-12,33.7,0.65
Vermont,VT,2024,12,2024-12,23.6,4.26
Virginia,VA,2024,12,2024-12,38.8,2.9
Washington,WA,2024,12,2024-12,35.0,7.8
West Virginia,WV,2024,12,2024-12,35.6,3.29
Wisconsin,WI,2024,12,2024-12,23.6,1.24
Wyoming,WY,2024,12,2024-12,29.1,0.77
Alabama,AL,2025,1,2025-01,40.1,3.24
Arizona,AZ,2025,1,2025-01,40.1,0.09
Arkansas,AR,2025,1,2025-01,36.2,4.1
California,CA,2025,1,2025-01,45.1,0.92
Colorado,CO,2025,1,2025-01,20.4,0.71
Connecticut,CT,2025,1,2025-01,26.2,1.21
Delaware,DE,2025,1,2025-01,30.1,1.69
Florida,FL,2025,1,2025-01,53.7,2.65
Georgia,GA,2025,1,2025-01,41.3,2.58
Idaho,ID,2025,1,2025-01,22.3,1.5
Illinois,IL,2025,1,2025-01,23.0,1.09
Indiana,IN,2025,1,2025-01,22.6,1.55
Iowa,IA,2025,1,2025-01,18.8,0.29
Kansas,KS,2025,1,2025-01,25.7,0.83
Kentucky,KY,2025,1,2025-01,28.6,3.97
Louisiana,LA,2025,1,2025-01,45.6,4.87
Maine,ME,2025,1,2025-01,16.3,1.67
Maryland,MD,2025,1,2025-01,29.2,1.51
Massachusetts,MA,2025,1,2025-01,24.7,1.65
Michigan,MI,2025,1,2025-01,18.9,1.27
Minnesota,MN,2025,1,2025-01,9.9,0.3
Mississippi,MS,2025,1,2025-01,41.2,4.26
Missouri,MO,2025,1,2025-01,26.8,1.76
Montana,MT,2025,1,2025-01,19.2,0.96
Nebraska,NE,2025,1,2025-01,22.0,0.3
Nevada,NV,2025,1,2025-01,31.5,0.32
New Hampshire,NH,2025,1,2025-01,18.5,1.41
New Jersey,NJ,2025,1,2025-01,28.4,0.77
New Mexico,NM,2025,1,2025-01,30.5,0.24
New York,NY,2025,1,2025-01,20.2,1.69
North Carolina,NC,2025,1,2025-01,35.4,1.68
North Dakota,ND,2025,1,2025-01,9.9,0.26
Ohio,OH,2025,1,2025-01,22.3,1.46
Oklahoma,OK,2025,1,2025-01,34.1,1.25
Oregon,OR,2025,1,2025-01,33.3,2.62
Pennsylvania,PA,2025,1,2025-01,22.2,1.19
Rhode Island,RI,2025,1,2025-01,27.5,1.86
South Carolina,SC,2025,1,2025-01,40.2,1.87
South Dakota,SD,2025,1,2025-01,16.4,0.24
Tennessee,TN,2025,1,2025-01,32.7,3.37
Texas,TX,2025,1,2025-01,42.8,1.55
Utah,UT,2025,1,2025-01,25.8,0.32
Vermont,VT,2025,1,2025-01,17.2,1.3
Virginia,VA,2025,1,2025-01,30.8,2.18
Washington,WA,2025,1,2025-01,31.0,2.22
West Virginia,WV,2025,1,2025-01,24.2,2.72
Wisconsin,WI,2025,1,2025-01,14.2,0.23
Wyoming,WY,2025,1,2025-01,16.6,0.86
Alabama,AL,2025,2,2025-02,52.7,4.46
Arizona,AZ,2025,2,2025-02,51.2,0.27
Arkansas,AR,2025,2,2025-02,44.0,4.17
California,CA,2025,2,2025-02,48.7,5.05
Colorado,CO,2025,2,2025-02,30.1,0.91
Connecticut,CT,2025,2,2025-02,28.9,2.81
Delaware,DE,2025,2,2025-02,37.2,3.05
Florida,FL,2025,2,2025-02,65.8,2.13
Georgia,GA,2025,2,2025-02,54.1,3.3
Idaho,ID,2025,2,2025-02,26.2,3.91
Illinois,IL,2025,2,2025-02,29.3,1.07
Indiana,IN,2025,2,2025-02,30.6,2.09
Iowa,IA,2025,2,2025-02,20.7,0.44
Kansas,KS,2025,2,2025-02,29.4,0.38
Kentucky,KY,2025,2,2025-02,38.8,7.55
Louisiana,LA,2025,2,2025-02,55.9,5.13
Maine,ME,2025,2,2025-02,16.1,2.57
Maryland,MD,2025,2,2025-02,36.8,2.81
Massachusetts,MA,2025,2,2025-02,26.8,3.25
Michigan,MI,2025,2,2025-02,20.9,1.33
Minnesota,MN,2025,2,2025-02,11.0,0.51
Mississippi,MS,2025,2,2025-02,52.6,4.63
Missouri,MO,2025,2,2025-02,32.1,1.16
Montana,MT,2025,2,2025-02,13.3,1.49
Nebraska,NE,2025,2,2025-02,22.3,0.43
Nevada,NV,2025,2,2025-02,38.3,1.23
New Hampshire,NH,2025,2,2025-02,19.3,3.14
New Jersey,NJ,2025,2,2025-02,33.8,2.61
New Mexico,NM,2025,2,2025-02,43.4,0.11
New York,NY,2025,2,2025-02,22.4,3.18
North Carolina,NC,2025,2,2025-02,45.9,3.84
North Dakota,ND,2025,2,2025-02,5.6,0.28
Ohio,OH,2025,2,2025-02,30.3,3.22
Oklahoma,OK,2025,2,2025-02,39.2,0.68
Oregon,OR,2025,2,2025-02,32.6,5.13
Pennsylvania,PA,2025,2,2025-02,28.5,3.06
Rhode Island,RI,2025,2,2025-02,30.1,3.28
South Carolina,SC,2025,2,2025-02,51.8,2.25
South Dakota,SD,2025,2,2025-02,14.8,0.26
Tennessee,TN,2025,2,2025-02,43.1,6.29
Texas,TX,2025,2,2025-02,51.8,0.86
Utah,UT,2025,2,2025-02,35.9,0.92
Vermont,VT,2025,2,2025-02,18.0,3.09
Virginia,VA,2025,2,2025-02,40.0,5.66
Washington,WA,2025,2,2025-02,30.3,4.82
West Virginia,WV,2025,2,2025-02,35.7,5.57
Wisconsin,WI,2025,2,2025-02,16.6,0.82
Wyoming,WY,2025,2,2025-02,22.4,1.34
